Room,Start_date,End_date,Cost,Is_cancelled,Number_of_nights,Breakfast,Dinner
304,2016-05-02,2016-05-04,648,False,2,True,True
208,2015-06-20,2015-06-28,1120,False,8,True,False
303,2015-06-08,2015-06-18,3290,True,10,True,True
107,2024-10-16,2024-10-17,100,False,1,False,False
304,2024-03-07,2024-03-15,2456,False,8,True,True
208,2020-01-27,2020-02-02,864,False,6,False,False
202,2018-12-12,2018-12-13,144,False,1,True,True
102,2020-12-01,2020-12-08,749,False,7,False,False
102,2020-04-22,2020-05-06,1260,False,14,True,True
104,2016-03-11,2016-03-20,882,False,9,True,False
208,2022-06-05,2022-06-13,1184,False,8,False,False
208,2023-11-23,2023-12-07,2100,False,14,True,True
202,2022-05-11,2022-05-18,1015,True,7,True,True
210,2024-03-29,2024-04-06,1120,True,8,True,True
208,2024-08-15,2024-08-23,1144,False,8,False,False
205,2024-05-28,2024-05-31,432,False,3,False,False
208,2018-06-13,2018-06-16,450,False,3,False,False
106,2020-07-22,2020-07-24,206,False,2,False,False
204,2016-10-06,2016-10-14,1176,False,8,True,True
109,2021-05-06,2021-05-16,940,False,10,False,False
205,2021-07-21,2021-07-23,282,True,2,False,False
102,2025-01-21,2025-02-03,1391,False,13,True,True
205,2021-01-18,2021-01-26,1128,False,8,False,False
303,2020-05-15,2020-05-21,1974,False,6,True,False
103,2022-06-19,2022-07-03,1386,False,14,True,True
203,2020-02-19,2020-02-28,1305,False,9,True,True
108,2019-04-05,2019-04-19,1484,False,14,True,True
104,2018-03-24,2018-04-05,1260,False,12,True,True
301,2017-12-12,2017-12-24,3768,False,12,True,True
210,2019-05-22,2019-05-30,1160,False,8,False,False
109,2021-12-04,2021-12-17,1170,False,13,True,True
106,2021-11-16,2021-11-30,1344,False,14,True,False
210,2016-05-05,2016-05-06,144,False,1,True,True
208,2020-06-30,2020-07-02,288,True,2,False,False
108,2019-07-15,2019-07-21,606,True,6,False,False
302,2021-09-25,2021-10-03,2632,False,8,True,False
105,2018-05-25,2018-06-02,736,False,8,True,True
202,2016-05-04,2016-05-13,1278,False,9,True,True
204,2018-06-10,2018-06-17,1043,False,7,False,True
305,2021-09-29,2021-10-01,628,False,2,False,False
